start,end
6279,6484
6678,6775
6920,6984
7108,7371
7674,7757
9605,10098
10172,10374
10671,10887
11212,11425
11630,11944
12261,12520
12814,12951
13232,13339
13573,13741
14010,14304
14476,14495
14770,14942
15432,16217
16262,16443
16463,16731
16844,16968
17047,17064
17129,17246
19369,19654
19998,20751
22638,22729
23060,23070
23358,23545
23735,24073
53915,54168
54375,54496
55084,55366
55450,55765
56071,56502
57119,57560
59844,60205
60778,61022
61244,61913
62376,62768
62772,63037
63688,64171
64593,64736
65197,68228
69231,69325
69702,69981
70341,70464
70703,70913
71210,71489
71714,71783
71855,72103
