start,end
6105,6194
6348,6467
6776,6919
7108,7367
9756,10106
10172,10374
11212,11425
11630,11944
12330,12599
12952,12995
13092,13339
13573,13827
14088,14207
14496,14576
15432,15713
15978,16043
16262,16462
16844,16968
17065,17264
19998,20660
22428,22637
22791,23059
23258,23333
23735,24073
54375,54496
54768,55366
56076,56348
56702,56947
57119,57155
59038,59520
59598,59685
59745,59834
60339,60486
61244,61286
61599,61811
61980,62099
62772,63037
63455,63687
63816,63941
64296,64736
67255,68227
68348,68562
68606,68896
69002,69247
69469,69630
69702,69841
70465,70702
71210,71489
71714,71854
