start,end
6201,6347
6351,6450
6468,6762
7080,7367
7812,9377
9756,10106
10971,11392
11697,12267
12996,13091
13194,13909
14406,14576
14670,14833
15033,15178
15431,15713
16095,16665
16885,17264
17326,19175
19977,20624
20661,22427
22791,22915
23108,23287
23862,24254
54768,55207
55330,55422
55710,56042
56076,56348
56511,56964
57145,57155
57532,59597
59835,59873
61047,61286
61599,61811
61980,62096
62181,62305
62466,62597
62695,63676
63816,63941
64162,65080
65682,65925
67255,68227
68348,68594
68606,69001
69248,69630
69947,70264
70333,70903
71146,71834
