start,end
6351,6450
6920,7079
7108,7550
9628,10171
10671,10879
10888,10970
11212,11392
11426,11629
11697,11944
12643,12951
13194,13339
13573,13827
13910,14009
14249,14304
14496,14669
14834,14942
15179,15430
15432,15894
16262,16462
16666,16843
16885,16968
17065,17284
19369,19654
19998,20624
22644,22915
23060,23107
23258,23287
23358,23531
23546,23734
23862,24073
54640,55207
55330,55366
55423,55708
56043,56510
56702,56947
56965,57118
57145,57531
59038,59520
59874,60139
60506,61022
61244,62096
62100,62180
62306,62375
62772,63037
63455,63676
63688,64161
64296,64736
65143,65216
65456,65681
66040,68228
68326,68562
68595,68896
69469,69669
70465,70702
70977,71145
71210,71489
71714,71834
71855,72050
72104,72234
