start,end
6351,6450
6485,6677
6912,6984
7080,7371
7551,7673
9628,10098
10557,10879
10971,11392
11697,12161
12521,12642
12814,13193
13232,13741
14249,14475
14834,15032
15431,15894
16218,16443
16666,16731
16885,17046
17129,17246
17326,19850
19977,20624
22284,22515
22644,22729
22916,23070
23313,23531
23862,24254
55084,55207
55330,55422
55450,55708
55768,56042
56071,56502
56511,56628
57145,57531
59579,59792
59874,60139
60206,60505
60778,61913
62181,62305
62769,63275
63677,64161
64593,65080
65197,65216
65456,65681
66040,68325
68949,69230
69982,70264
71146,71783
71835,72050
